feature,shap_importance
max_price,0.36427483
price_roll_min_14d,0.088056795
avg_price,0.07671902
price_roll_min_90d,0.07090385
price_roll_mean_7d,0.07056649
eu_orange_price_eur_100kg,0.0690327
input_cost_index,0.039306257
price_roll_mean_90d,0.03913342
price_lag_1d,0.036962803
price_roll_min_7d,0.035307754
min_price,0.028592141
price_roll_min_30d,0.019012608
price_roll_mean_60d,0.016224667
price_yoy_change,0.012349538
policy_impact_90d_avg,0.011334209
trend_hal_fiyatları,0.008567228
price_lag_90d,0.0078009083
price_roll_min_60d,0.0067006913
price_roll_max_7d,0.0064945477
inflation_yoy,0.006221881
fao_fruit_index,0.0061248015
day_of_year,0.0053057214
month_cos,0.0051220404
gdd_cumulative_90d,0.0049830615
price_spread,0.004838848
ndvi_mean,0.0043430855
trend_portakal,0.0041325088
cpi_index,0.004096584
price_lag_14d,0.004067672
days_to_ramadan,0.003968412
gdd_cumulative_30d,0.0038973908
price_roll_std_90d,0.0036413253
temp_min_roll_30d,0.0033016445
trend_narenciye,0.0029106697
precip_sum_60d,0.0028176832
price_roll_std_60d,0.0027968062
price_roll_mean_30d,0.0027758088
price_vs_90d_avg,0.00263034
price_vs_30d_avg,0.0024389746
price_roll_mean_14d,0.0024255544
precip_sum_30d,0.0024035915
price_roll_max_60d,0.0023659263
temp_min_roll_14d,0.0023120514
tourism_intensity,0.002296361
price_roll_max_90d,0.0022603436
precip_sum_14d,0.002231197
policy_impact_30d_avg,0.0022307425
temp_mean_30d,0.0021303417
ramadan_active,0.002112444
trend_meyve_fiyat,0.002084065
price_lag_60d,0.0017336516
humidity_mean_7d,0.0017190123
humidity_mean_30d,0.0017089095
input_cost_yoy,0.0016593453
price_roll_std_7d,0.0016202545
humidity_mean_14d,0.0015444459
price_roll_max_30d,0.0014454789
week_of_year,0.0013910326
price_lag_30d,0.0013676672
price_spread_pct,0.0013443462
temp_trend,0.0013207843
price_change_30d,0.0012816235
price_roll_max_14d,0.0012497196
price_volatility_30d,0.0011896938
price_lag_7d,0.0010092554
wind_speed_max,0.0009674958
policy_impact_score,0.00096087594
temp_mean_7d,0.00095487357
ndvi_std,0.0009468174
temp_min_roll_7d,0.0008604961
price_change_14d,0.00083473907
competing_export_volume_kt,0.00081787485
temp_range_7d_avg,0.0007053509
price_roll_std_30d,0.0006833823
season_phase,0.000680806
temp_range,0.00066077104
precip_sum_7d,0.00065708626
event_sanction_active,0.0006244426
price_change_7d,0.00060626236
consecutive_dry_days,0.00057386095
temp_max,0.00047500446
temp_mean,0.00045032706
price_roll_std_14d,0.00036223693
humidity,0.000351923
month,0.00035042156
temp_min,0.00029560292
USD_ZAR,0.0002953195
active_competitors,0.0002942594
gdd_daily,0.00026774092
policy_event_count_90d,0.00024226466
TRY_ZAR,0.0002337483
disease_pressure_14d,0.0001709948
heat_days_30d,0.0001499484
competition_index,0.00013273148
USD_RUB,0.000113130685
day_of_week,0.00011261451
TRY_RUB,0.00011022781
drought_risk,0.00010587258
precipitation,8.8618384e-05
month_sin,6.586181e-05
TRY_per_USD,6.465444e-05
is_harvest_season,3.7891874e-05
event_frost_active,3.2208078e-05
policy_event_count_30d,2.6413665e-05
event_trade_active,2.2670545e-05
event_economic_active,1.5709127e-05
USD_EUR,1.28293195e-05
heat_days_14d,4.6933023e-06
frost,0.0
severe_frost,0.0
frost_days_7d,0.0
severe_frost_days_7d,0.0
heat_stress,0.0
severe_frost_days_14d,0.0
frost_days_30d,0.0
severe_frost_days_30d,0.0
frost_days_14d,0.0
disease_pressure,0.0
heat_days_7d,0.0
is_dry,0.0
TRY_EUR,0.0
event_pandemic_active,0.0
event_regulation_active,0.0
event_supply_active,0.0
bayram_period,0.0
pre_ramadan,0.0
trend_portakal_fiyat,0.0
is_weekend,0.0
